date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2020-06-03,AD,1,0,,,852,51,,
2020-06-03,AE,659,3,,52996,37018,273,,2429054
2020-06-03,AF,787,6,,,18057,304,,
2020-06-03,CM,204,3,,,6789,203,,
2020-06-03,CN,-1,0,2,,84602,4645,79826,
2020-06-03,GA,53,1,,,2955,21,,
2020-06-03,GB,1362,155,,143443,260682,38587,,4011931
2020-06-03,IE,31,5,,3099,25142,1664,,354322
2020-06-03,IL,118,0,,14899,17495,291,,623073
2020-06-03,SE,1046,38,,,41249,4819,,
2020-06-03,US,21368,1005,,621190,1874156,111499,,21252598
2020-10-03,AD,0,0,,,2110,53,,
2020-10-03,AE,1041,0,,108906,98801,426,,10129865
2020-10-03,AF,44,0,,,39341,1464,,
2020-10-03,CM,0,0,,,20924,420,,
2020-10-03,CN,19,0,16,,91101,4746,85984,
2020-10-03,GA,0,0,,,8797,54,,
2020-10-03,GB,11550,66,,288746,527814,42494,,25614228
2020-10-03,IE,364,0,,11295,38032,1810,,1233281
2020-10-03,IL,2332,37,,26458,266775,1719,,3920661
2020-10-03,SE,461,0,,18580,95642,5895,,
2020-10-03,US,36092,349,,626252,7402515,210006,,120823891
