date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested
2/1/2020,ES,5,0,,,5,0,,
2/1/2020,FR,0,0,,,6,0,,
2/1/2020,GB,0,0,,,2,0,,0
2/1/2020,DE,0,0,,,0,0,,
2/1/2020,IT,0,0,,,2,0,,
2/1/2020,NL,0,0,,,0,0,,
2/1/2020,SE,0,0,,,1,0,,
2/2/2020,ES,0,0,,,5,0,,
2/2/2020,FR,0,0,,,6,0,,
2/2/2020,GB,0,0,,,2,0,,0
2/2/2020,DE,0,0,,,0,0,,
2/2/2020,IT,0,0,,,2,0,,
2/2/2020,NL,0,0,,,0,0,,
2/2/2020,SE,0,0,,,1,0,,
2/3/2020,ES,0,0,,,5,0,,
2/3/2020,FR,0,0,,,6,0,,
2/3/2020,GB,0,0,,,1,0,,0
2/3/2020,DE,0,0,,,0,0,,
2/3/2020,IT,0,0,,,2,0,,
2/3/2020,NL,0,0,,,0,0,,
2/3/2020,SE,0,0,,,1,0,,
2/4/2020,ES,0,0,,,5,0,,
2/4/2020,FR,0,0,,,6,0,,
2/4/2020,GB,0,0,,,1,0,,0
2/4/2020,DE,0,0,,,0,0,,
2/4/2020,IT,0,0,,,2,0,,
2/4/2020,NL,0,0,,,0,0,,
2/4/2020,SE,1,0,,,1,0,,
2/5/2020,ES,0,0,,,5,0,,
2/5/2020,FR,0,0,,,6,0,,
2/5/2020,GB,1,0,,,3,0,,0
2/5/2020,DE,0,0,,,0,0,,
2/5/2020,IT,0,0,,,2,0,,
2/5/2020,NL,0,0,,,0,0,,
2/5/2020,SE,0,0,,,1,0,,
2/6/2020,ES,0,0,,,5,0,,
2/6/2020,FR,0,0,,,6,0,,
2/6/2020,GB,0,0,,,1,0,,0
2/6/2020,DE,0,0,,,0,0,,
2/6/2020,IT,0,0,,,2,0,,
2/6/2020,NL,0,0,,,0,0,,
2/6/2020,SE,0,0,,,1,0,,
2/7/2020,ES,0,0,,,5,0,,
2/7/2020,FR,5,0,,,11,0,,
